Date,strategy,buy_and_hold,equal_weight,sixty_forty,ma_crossover,twap_ew,vwap_proxy_ew
2022-03-31,-3.116046311447958e-05,-0.015391258947216824,-0.007105179507923688,-0.008263239445318305,-0.0,-0.007105179507923688,-0.0037102666143784095
2022-04-01,6.495584405973213e-05,0.002834358714290941,0.0019153917903307117,0.0032232429521875886,0.0,0.0019153917903307117,-0.005334781783048604
2022-04-04,-0.0035580511532472036,0.008566483472312925,0.005737967220080331,0.0023599851804731115,0.0,0.005737967220080331,0.005432343659526096
2022-04-05,-0.0008353393630805858,-0.012631540897469429,-0.017471395308218087,-0.016615869987603938,-0.0,-0.017471395308218087,-0.006245214434070223
2022-04-06,0.00029000542314307686,-0.009999134806450538,-0.010329916144000074,-0.00923715761058146,-0.0,-0.010329916144000074,-0.01820191601606749
2022-04-07,0.001433636020493901,0.005038977011179613,8.427849143684014e-05,1.0469750810182185e-05,0.0,8.427849143684014e-05,-0.0023243645194038986
2022-04-08,0.0004349571540010889,-0.002674047353562692,-0.00583787169515051,-0.005936672711144331,-0.0,-0.00583787169515051,-0.002069967965047659
2022-04-11,0.00047269441173370595,-0.017092344401141824,-0.011667381618200447,-0.016585471841179734,-0.0,-0.011667381618200447,-0.009786386285298376
2022-04-12,-0.00028313060464661005,-0.003705129707030741,0.00030428192236122727,-0.0027752381590725236,-0.0,0.00030428192236122727,0.002135836173645123
2022-04-13,0.00902354855378943,0.011453482515477731,0.011524433594740736,0.007685344480361245,0.0,0.011524433594740736,0.0017293369233509993
2022-04-14,-0.008067645157945898,-0.012451682981431622,-0.013674656105515793,-0.01548917992704708,-0.0,-0.013674656105515793,-0.0027652017349480973
2022-04-18,-0.0009784608826914525,0.0004112039295243175,-0.001485562543996899,-0.0017408973322317945,0.0,-0.001485562543996899,-0.007055502000487368
2022-04-19,0.012688281863782071,0.01614258242880995,0.0071654903213089535,0.006689363612116894,0.0,0.0071654903213089535,0.0009594118279911078
2022-04-20,-0.0032990332238222947,-0.0007415444690804796,0.0027029315855204633,0.007605260791536918,-0.0,0.0027029315855204633,0.008393422176798948
2022-04-21,-0.0016103172999707798,-0.014953648266371466,-0.013797870242288336,-0.011931401783553586,-0.0,-0.013797870242288336,-0.006300143205581189
2022-04-22,-0.018765439248654047,-0.027439010249689644,-0.019105257614658068,-0.018981055803231794,-0.0,-0.019105257614658068,-0.018767001131412032
2022-04-25,0.002421939080230959,0.005797462384849572,0.003349100119970339,0.007478807461455305,0.0,0.003349100119970339,-0.01016095257776366
2022-04-26,-0.015075698049584101,-0.02896066552761034,-0.01732659318779424,-0.013349713992209744,-0.0,-0.01732659318779424,-0.004244865709279667
2022-04-27,0.00030504298898745356,0.002811686453053408,-0.004584815218133698,-0.0034432903634383566,0.0,-0.004584815218133698,-0.009675553960288342
2022-04-28,0.012266847014573881,0.02525950075503358,0.017266083925287966,0.015751551198646307,0.0,0.017266083925287966,0.00708889835698665
2022-04-29,-0.015974385999048542,-0.03695584229492277,-0.02478393236022942,-0.0273627617444713,-0.0,-0.02478393236022942,-0.007528174080152807
2022-05-02,0.005706013075459837,0.006019606754928519,-0.0005338488606385192,-0.0033216202777720757,0.0,-0.0005338488606385192,-0.0156359399715027
2022-05-03,0.0016630906140405741,0.004584037893592852,0.004720743000628503,0.005447034063328226,0.0,0.004720743000628503,0.008947467617963946
2022-05-04,0.0052003403106488395,0.030452868436302793,0.021256723033120296,0.020475728620500976,0.0,0.021256723033120296,0.009456620694538877
