timestep,ep_rew_mean,ep_len_mean,r_pnl_mean,r_spread_mean,r_cvar_mean,cvar_5pct_mean
2000,-0.8258945,695.0,-4.948282395264817e-05,-0.00041174743637098,-0.0004388418035143688,-0.0004388418035143688
4000,-0.8348189999999999,695.0,-0.00015693690734490826,-0.0004052166224315763,-0.0004217658823778361,-0.0004217658823778361
6000,-0.557364375,695.0,0.00046591308024937587,-0.00038415381739055745,-0.0004232502314944802,-0.0004232502314944802
8000,-0.4076680909090909,695.0,0.0009002706666135038,-0.00036607091225218023,-0.000446335697666685,-0.000446335697666685
10000,-0.3032644285714286,695.0,0.0008493568393483335,-0.00036499322408754375,-0.0005754728027934059,-0.0005754728027934059
12000,-0.17746705882352942,695.0,0.0016877124493959656,-0.00033374828823320567,-0.0005355342896071984,-0.0005355342896071984
14000,-0.03477729999999999,695.0,0.0018763841028870355,-0.0003273495039774105,-0.0005602746871277745,-0.0005602746871277745
16000,0.10937930434782608,695.0,0.002551179822316852,-0.00029238401993587616,-0.0005835377292354504,-0.0005835377292354504
18000,0.17273908,695.0,0.002604029471058353,-0.00030154462032131856,-0.000657827664128694,-0.000657827664128694
20000,0.3517092142857142,695.0,0.003549383702220394,-0.00030671420067716394,-0.0006379153365983914,-0.0006379153365983914
22000,0.4963098064516128,695.0,0.00359587865922246,-0.00030597592493677517,-0.0006570815079985668,-0.0006570815079985668
24000,0.6815952647058824,695.0,0.00492865776736011,-0.00028446095794942226,-0.0006683726867149495,-0.0006683726867149495
26000,0.8941568648648649,695.0,0.0056973915796689,-0.00027498566035125404,-0.000689424005725922,-0.000689424005725922
28000,1.1089146,695.0,0.006485438275355042,-0.0002454356701292098,-0.0006707935530207423,-0.0006707935530207423
30000,1.3106672325581397,695.0,0.006787224619491308,-0.00020595842876806859,-0.0007323674871904577,-0.0007323674871904577
32000,1.4621457391304349,695.0,0.006290974465340667,-0.00019315591102540494,-0.0007224441751900331,-0.0007224441751900331
34000,1.5666473541666666,695.0,0.006552998742897971,-0.00020989652089700104,-0.0007396508746244497,-0.0007396508746244497
36000,1.6708933921568625,695.0,0.005010381592402898,-0.0002064382640436292,-0.0007434919389036634,-0.0007434919389036634
38000,1.7348477592592588,695.0,0.0049934724045531086,-0.00020930544868148865,-0.0007630323470605913,-0.0007630323470605913
40000,1.752110403508772,695.0,0.0037479812313872003,-0.00018216819052957,-0.0008210864697666507,-0.0008210864697666507
42000,1.7693251666666667,695.0,0.004045702724206072,-0.0001711675235517323,-0.0007741174508430683,-0.0007741174508430683
44000,1.7434830476190477,695.0,0.002794503916554676,-0.00017079369734991347,-0.000786222375913893,-0.000786222375913893
46000,1.7064887424242425,695.0,0.0021416839979006294,-0.00013791194896399975,-0.000842811068241291,-0.000842811068241291
