label,n_members,mode,ann_return,sharpe,sortino,max_drawdown,calmar,n_days
"A: MLP multi-asset, no CVaR",1,single,-0.031939291481801,0.1673137919440631,0.2390019725262714,0.509144166915151,-0.0627313314327408,731
B: + CVaR (λ=0.01),1,single,-0.0134531031414956,0.1799090850275317,0.254576644173521,0.513862988479892,-0.0261803310281064,731
"C: + Transformer, no early stop",1,single,-0.1084273710217382,0.0926277008347216,0.1491107476029356,0.7175628840192365,-0.1511050438038425,691
D: + early stopping (50k),1,single,0.2901609889961951,0.7444032770444333,1.3954733238820547,0.563338504505369,0.51507395052104,691
E: + 5-seed ensemble (mean),5,mean,-0.0880286999682311,-0.2024365971796373,-0.277092835935953,0.4419687766012764,-0.1991740245660985,691
F: + uncertainty sizing (FULL),5,uncertainty,0.0126744880414213,0.2679351221237628,0.3752021718767504,0.0863527098711105,0.1467757996285143,691
G: + liquidity-aware env (r008),5,uncertainty,-0.0230430385894531,-0.2311435617284799,-0.3224975193036195,0.1282190836507565,-0.1797161384511046,691
