timestep,ep_rew_mean,ep_len_mean,r_pnl_mean,r_spread_mean,r_cvar_mean,cvar_5pct_mean
2000,-0.4747,695.0,0.0006266956332134331,-0.00040580902002528306,-0.00041749995333066,-0.00041749995333066
4000,-0.05609900000000001,695.0,0.0008389372413196816,-0.0003831602278897074,-0.0003995981189946151,-0.0003995981189946151
6000,-0.28383474999999997,695.0,-0.00017556792192071523,-0.00036772913816049695,-0.0004115014552892474,-0.0004115014552892474
8000,-0.3747606363636363,695.0,-0.00018534980931348067,-0.00035047688345741476,-0.0004437761419844483,-0.0004437761419844483
10000,-0.19880849999999994,695.0,0.001544506045568708,-0.0003471433611120097,-0.000451223597212709,-0.000451223597212709
12000,-0.10585464705882351,695.0,0.0011097138986002383,-0.00033886638161260643,-0.00045913896497152905,-0.00045913896497152905
14000,-0.04967654999999998,695.0,0.0012956162522387933,-0.0003375810719005764,-0.00047239238420007293,-0.00047239238420007293
16000,0.048444782608695676,695.0,0.001837027456285484,-0.0003397463019857183,-0.00043536281122062394,-0.00043536281122062394
18000,0.13871303999999998,695.0,0.0025241766656041546,-0.0003089667611210607,-0.0004528311060118772,-0.0004528311060118772
20000,0.21375999999999998,695.0,0.0021189157937182177,-0.0002967499913400039,-0.0004313216111109821,-0.0004313216111109821
22000,0.31519151612903223,695.0,0.0021115164889811753,-0.0002837673449246213,-0.00044630231800086315,-0.00044630231800086315
24000,0.4044536764705883,695.0,0.0028409077940734105,-0.00029257431234158574,-0.0005054553106006069,-0.0005054553106006069
26000,0.4478864324324325,695.0,0.001969144397146093,-0.00027284080569082867,-0.0005139197536570048,-0.0005139197536570048
28000,0.531271925,695.0,0.0033709830895049635,-0.00027813335826341054,-0.0004930363453269787,-0.0004930363453269787
30000,0.547204023255814,695.0,0.001542583659425043,-0.00031235306238383055,-0.0004900319872411072,-0.0004900319872411072
32000,0.5714442608695652,695.0,0.002158641523789358,-0.00025840204716399317,-0.0004926449730863018,-0.0004926449730863018
34000,0.5667992291666667,695.0,0.0015649572194721465,-0.00024804323961883783,-0.0004637039774560562,-0.0004637039774560562
36000,0.5879895882352941,695.0,0.002391849450002209,-0.00024425387777741997,-0.00045974217070075997,-0.00045974217070075997
38000,0.6186025555555555,695.0,0.0018162362670693707,-0.0002569948654972017,-0.0004745283239287469,-0.0004745283239287469
40000,0.5843387368421052,695.0,0.0007613766702185846,-0.00026137361372038725,-0.000509362445246984,-0.000509362445246984
42000,0.56870795,695.0,0.0013559030494945052,-0.00025415197459035556,-0.0005122578276954285,-0.0005122578276954285
44000,0.6258330317460318,695.0,0.0031860348643196717,-0.00026956652667075394,-0.00041639787302172294,-0.00041639787302172294
46000,0.673660393939394,695.0,0.003178319221918306,-0.0002943840350091458,-0.0004720332151524748,-0.0004720332151524748
48000,0.7128720144927536,695.0,0.003088583846183165,-0.0002864135490396992,-0.00041605076943483123,-0.00041605076943483123
50000,0.7392124225352114,695.0,0.0034875241579463852,-0.00024233151102364065,-0.00041373548027538054,-0.00041373548027538054
52000,0.7794696756756756,695.0,0.0030321329963181637,-0.00022411248214244844,-0.00042132403628583343,-0.00042132403628583343
54000,0.8307871298701298,695.0,0.0033422096601890814,-0.00021411343621723355,-0.0003762868701961765,-0.0003762868701961765
56000,0.8522843250000001,695.0,0.002691729262603216,-0.0002242692402595654,-0.0004803091736345054,-0.0004803091736345054
58000,0.8744683132530122,695.0,0.0027591994830983195,-0.00022513061795961114,-0.00047745591997664234,-0.00047745591997664234
60000,0.9227589651162794,695.0,0.0038749857559045526,-0.00020074632376616356,-0.00042477723009799566,-0.00042477723009799566
62000,0.9397001348314609,695.0,0.0025145216590633053,-0.00017342630208730698,-0.0004105009408357273,-0.0004105009408357273
64000,0.9661645217391306,695.0,0.0031828217356276987,-0.00014865116105172783,-0.0004283998535853484,-0.0004283998535853484
66000,0.9702067340425533,695.0,0.002635689296972907,-0.0001661204835906625,-0.0004297559106872887,-0.0004297559106872887
68000,0.9706046288659794,695.0,0.0015895746869791774,-0.0001335257107719779,-0.0004226270372477653,-0.0004226270372477653
70000,0.9733757,695.0,0.0022248721629081992,-0.00014506354843080044,-0.0004321536925864642,-0.0004321536925864642
72000,1.0178500100000003,695.0,0.002410625134053742,-0.0001521204060267657,-0.00043336907671409186,-0.00043336907671409186
74000,1.0689804299999999,695.0,0.002538425455010693,-0.0001517796544767916,-0.0004342402913488289,-0.0004342402913488289
76000,1.1137991900000002,695.0,0.0021914241775696664,-0.00013642387938424944,-0.00043354852943751587,-0.00043354852943751587
78000,1.16371905,695.0,0.0020624441872251534,-0.00013995891904309394,-0.000439186823914694,-0.000439186823914694
80000,1.17307849,695.0,0.002076297984846492,-0.00014062782537043096,-0.0004294941980030944,-0.0004294941980030944
82000,1.19389474,695.0,0.002730287896196931,-0.00013501621572561563,-0.000469203961278574,-0.000469203961278574
84000,1.2320368199999998,695.0,0.002717499454616608,-0.00017338782074525954,-0.00041772837399217,-0.00041772837399217
86000,1.2532338,695.0,0.002890209078824212,-0.00018633540918231012,-0.00042840371801412873,-0.00042840371801412873
88000,1.28563405,695.0,0.0033831345359900387,-0.00020315072688423098,-0.0004271147533688143,-0.0004271147533688143
90000,1.2906599200000002,695.0,0.0025867551367068954,-0.00017824667334612459,-0.0004465685617891781,-0.0004465685617891781
92000,1.3054968200000001,695.0,0.0028659292088665887,-0.0001500712336126715,-0.00041333791389903886,-0.00041333791389903886
94000,1.33085465,695.0,0.0034200776908870777,-0.00013526978054195644,-0.0004251946106127018,-0.0004251946106127018
96000,1.35919454,695.0,0.0034694513030076725,-0.0001396715029653162,-0.0004456088555571109,-0.0004456088555571109
98000,1.3670590000000002,695.0,0.003240132188784216,-0.00012877756311371923,-0.0004635215205408708,-0.0004635215205408708
100000,1.3959458900000004,695.0,0.004166637153674616,-0.00015162198464069515,-0.0004367684004884895,-0.0004367684004884895
